Entity,Code,Year,GDP per capita
Pakistan,PAK,2019,4690.484777
Palau,PLW,2019,17572.6226
Palestine,PSE,2019,6245.448697
Panama,PAN,2019,31432.11327
Papua New Guinea,PNG,2019,4349.808048
Paraguay,PRY,2019,12615.52865
Peru,PER,2019,12853.69207
Philippines,PHL,2019,8914.723798
Poland,POL,2019,33120.51784
Portugal,PRT,2019,34879.70597
Post-demographic dividend,,2019,48999.14915
Pre-demographic dividend,,2019,3543.50029
Puerto Rico,PRI,2019,34804.93471
Qatar,QAT,2019,90043.799
Romania,ROU,2019,29857.64647
Russia,RUS,2019,27210.546
Rwanda,RWA,2019,2227.517033
Saint Kitts and Nevis,KNA,2019,26235.55455
Saint Lucia,LCA,2019,15448.34491
Saint Vincent and the Grenadines,VCT,2019,12484.72871
Samoa,WSM,2019,6516.520678
San Marino,SMR,2019,60847.10676
Sao Tome and Principe,STP,2019,4005.341623
Saudi Arabia,SAU,2019,46962.14769
Senegal,SEN,2019,3361.461548
Serbia,SRB,2019,18292.17503
Seychelles,SYC,2019,27521.16677
Sierra Leone,SLE,2019,1719.789744
Singapore,SGP,2019,98411.58206
Slovakia,SVK,2019,31871.33492
Slovenia,SVN,2019,38905.54786
Small states,,2019,20586.64375
Solomon Islands,SLB,2019,2660.979697
Somalia,SOM,2019,866.7622897
South Africa,ZAF,2019,12481.81351
South Asia,,2019,6243.088906
South Asia (IDA & IBRD),,2019,6243.088906
South Korea,KOR,2019,42719.00026
South Sudan,SSD,2019,1119.65
Spain,ESP,2019,40805.91697
Sri Lanka,LKA,2019,13070.12564
Sub-Saharan Africa,,2019,3805.407101
Sub-Saharan Africa (IDA & IBRD),,2019,3805.407101
Sub-Saharan Africa (excluding high income),,2019,3803.323828
Sudan,SDN,2019,4185.600635
Suriname,SUR,2019,19036.74504
Sweden,SWE,2019,52531.17438
Switzerland,CHE,2019,70920.32473
Tajikistan,TJK,2019,3581.411402
Tanzania,TZA,2019,2660.420433
Thailand,THA,2019,18453.46982
Timor,TLS,2019,3552.596998
Togo,TGO,2019,2121.899918
Tonga,TON,2019,6378.128346
Trinidad and Tobago,TTO,2019,25827.88507
Tunisia,TUN,2019,10755.57266
Turkey,TUR,2019,28199.05159
