Country Name,Manufactoring output (2018)
China,"$3,868,457,703,809 "
United States,"$2,308,055,081,000 "
Japan,"$1,027,967,141,296 "
Germany,"$795,959,796,744 "
South Korea,"$459,473,148,569 "
India,"$401,203,275,248 "
Italy,"$314,046,863,260 "
France,"$275,756,420,903 "
United Kingdom,"$256,360,125,864 "
Mexico,"$214,451,526,894 "
